epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2723,1.01446,1.15503,1.33845,0.95936,0.97942,0.98914,0.81358,0.6912,1.07441,1.30494,0.000665083,0.000665083,0.000665083
2,133.391,0.89377,0.69933,1.26193,0.90787,0.94045,0.97203,0.71726,0.84173,0.71233,1.47262,0.0012878,0.0012878,0.0012878
3,193.658,0.87163,0.59223,1.23612,0.99972,1,0.995,0.87775,0.46696,0.34054,1.06603,0.00186652,0.00186652,0.00186652
4,254.836,0.81086,0.52749,1.19191,0.99974,1,0.995,0.89931,0.43039,0.28916,1.02856,0.001802,0.001802,0.001802
5,317.846,0.8157,0.50822,1.19039,0.99975,1,0.995,0.87022,0.52005,0.32283,1.10664,0.001736,0.001736,0.001736
6,381.136,0.76463,0.47813,1.17232,0.99974,1,0.995,0.88645,0.46049,0.27973,1.04132,0.00167,0.00167,0.00167
7,443.986,0.74017,0.46618,1.15726,0.99971,1,0.995,0.86359,0.50999,0.29718,1.08327,0.001604,0.001604,0.001604
8,496.087,0.73283,0.45478,1.14275,0.99938,1,0.995,0.88719,0.43512,0.27011,1.03212,0.001538,0.001538,0.001538
9,547.055,0.71783,0.42723,1.12647,0.99967,1,0.995,0.90392,0.43473,0.29109,1.03347,0.001472,0.001472,0.001472
10,609.347,0.70231,0.42482,1.12186,0.99963,1,0.995,0.8863,0.45155,0.28539,1.04499,0.001406,0.001406,0.001406
11,670.464,0.69165,0.42361,1.11394,0.99131,1,0.99496,0.90886,0.39353,0.25878,0.99623,0.00134,0.00134,0.00134
12,733.592,0.67755,0.41053,1.09965,0.99961,1,0.995,0.90868,0.39275,0.2299,1.00279,0.001274,0.001274,0.001274
13,797.367,0.6582,0.39133,1.09282,0.9984,1,0.995,0.93279,0.37372,0.26435,0.97468,0.001208,0.001208,0.001208
14,861.491,0.64764,0.39253,1.0822,0.99976,1,0.995,0.90785,0.40839,0.23279,1.00595,0.001142,0.001142,0.001142
