epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.488,0.98741,1.01181,1.15652,0.99947,1,0.995,0.86667,0.5632,0.59858,0.87808,0.000663507,0.000663507,0.000663507
2,580.528,0.89969,0.65958,1.12792,0.9986,0.9917,0.995,0.80836,0.75472,0.67219,0.94278,0.00124238,0.00124238,0.00124238
3,864.84,0.87265,0.58862,1.10182,0.9992,1,0.995,0.89233,0.48125,0.43748,0.86338,0.00173326,0.00173326,0.00173326
4,1149.94,0.83589,0.52885,1.08398,0.99965,1,0.995,0.88554,0.47119,0.33563,0.8744,0.001604,0.001604,0.001604
5,1437.23,0.80623,0.50917,1.06073,0.99969,1,0.995,0.90534,0.44025,0.30012,0.84301,0.001472,0.001472,0.001472
6,1739.48,0.75476,0.44678,1.00863,0.99924,1,0.995,0.88244,0.4692,0.68393,0.86269,0.00134,0.00134,0.00134
7,2070.89,0.75204,0.44126,1.00887,0.99973,1,0.995,0.8995,0.45613,0.31241,0.84783,0.001208,0.001208,0.001208
